,Date Time,Doctors (count),Nurses(Count),Doctors on-call (Count),Nurses on-call (Count),Total Hospital Beds (Count),Hospital Beds Open (Count),Hospital Beds Occupied (Count),Ambulances On Duty (Count)
0,2022-01-01 00:00:00,132,297,10,10,680,550,130,14
1,2022-01-01 01:00:00,126,274,13,11,737,593,144,13
2,2022-01-01 02:00:00,129,270,8,10,749,640,109,5
3,2022-01-01 03:00:00,120,251,14,19,783,629,154,9
4,2022-01-01 04:00:00,122,250,5,14,685,563,122,9
5,2022-01-01 05:00:00,146,281,13,11,709,504,205,8
6,2022-01-01 06:00:00,138,277,5,13,609,495,114,9
7,2022-01-01 07:00:00,140,253,9,14,575,456,119,8
8,2022-01-01 08:00:00,125,291,8,10,698,490,208,6
9,2022-01-01 09:00:00,149,253,7,10,681,577,104,5
10,2022-01-01 10:00:00,123,280,8,12,669,584,85,7
11,2022-01-01 11:00:00,131,290,7,13,694,602,92,11
12,2022-01-01 12:00:00,144,252,8,12,586,460,126,13
13,2022-01-01 13:00:00,132,264,5,14,793,573,220,11
14,2022-01-01 14:00:00,136,269,6,18,627,514,113,14
15,2022-01-01 15:00:00,144,274,14,12,763,549,214,11
16,2022-01-01 16:00:00,149,274,8,12,768,594,174,11
17,2022-01-01 17:00:00,131,282,13,14,714,642,72,13
18,2022-01-01 18:00:00,141,279,8,13,509,456,53,12
19,2022-01-01 19:00:00,129,260,12,17,783,665,118,7
20,2022-01-01 20:00:00,128,286,5,12,567,436,131,5
21,2022-01-01 21:00:00,144,277,13,14,571,506,65,12
22,2022-01-01 22:00:00,137,279,9,12,555,493,62,10
23,2022-01-01 23:00:00,131,272,6,16,764,683,81,8
24,2022-01-02 00:00:00,129,275,7,10,703,577,126,6
25,2022-01-02 01:00:00,124,280,13,14,764,672,92,13
26,2022-01-02 02:00:00,143,263,6,18,785,657,128,9
27,2022-01-02 03:00:00,123,269,12,18,719,596,123,13
28,2022-01-02 04:00:00,133,276,9,11,711,563,148,7
29,2022-01-02 05:00:00,133,273,6,16,565,480,85,5
30,2022-01-02 06:00:00,132,263,14,16,778,648,130,13
31,2022-01-02 07:00:00,128,285,11,11,762,584,178,5
32,2022-01-02 08:00:00,144,254,9,11,712,569,143,9
33,2022-01-02 09:00:00,142,257,14,11,691,534,157,13
34,2022-01-02 10:00:00,130,251,9,14,758,678,80,13
35,2022-01-02 11:00:00,135,285,8,12,717,503,214,8
36,2022-01-02 12:00:00,144,286,8,15,667,581,86,13
37,2022-01-02 13:00:00,139,259,10,15,657,517,140,13
38,2022-01-02 14:00:00,141,277,8,16,698,517,181,5
39,2022-01-02 15:00:00,125,278,13,10,637,451,186,8
40,2022-01-02 16:00:00,146,264,5,13,552,438,114,14
41,2022-01-02 17:00:00,147,267,8,12,538,418,120,12
42,2022-01-02 18:00:00,138,263,12,12,637,538,99,11
43,2022-01-02 19:00:00,136,297,13,10,502,382,120,11
44,2022-01-02 20:00:00,138,257,6,19,772,666,106,10
45,2022-01-02 21:00:00,138,283,5,19,592,428,164,5
46,2022-01-02 22:00:00,125,274,7,13,529,380,149,8
47,2022-01-02 23:00:00,139,256,7,16,694,561,133,14
48,2022-01-03 00:00:00,147,281,6,13,534,439,95,14
49,2022-01-03 01:00:00,134,287,6,15,519,444,75,11
50,2022-01-03 02:00:00,135,292,8,12,666,504,162,7
51,2022-01-03 03:00:00,144,253,10,18,604,521,83,13
52,2022-01-03 04:00:00,137,257,10,10,568,453,115,11
53,2022-01-03 05:00:00,148,275,7,14,612,520,92,11
54,2022-01-03 06:00:00,136,262,10,14,571,457,114,8
55,2022-01-03 07:00:00,123,260,9,11,790,710,80,7
56,2022-01-03 08:00:00,126,259,7,14,613,441,172,10
57,2022-01-03 09:00:00,132,290,6,15,577,428,149,8
58,2022-01-03 10:00:00,145,274,12,18,507,418,89,11
59,2022-01-03 11:00:00,123,256,8,12,653,523,130,11
60,2022-01-03 12:00:00,122,283,11,11,664,501,163,6
61,2022-01-03 13:00:00,131,271,7,12,776,557,219,14
62,2022-01-03 14:00:00,121,293,10,18,708,590,118,14
63,2022-01-03 15:00:00,128,276,10,15,708,610,98,5
64,2022-01-03 16:00:00,132,279,5,17,708,508,200,8
